Scenario,Leak_Junction,Leak_Size,Demand,Start_Hour,Duration,Leak_Node_Number,Leak_Large,Leak_Medium,Leak_Small,J1_AvgPressure,J1_MinPressure,J1_MaxPressure,J1_PressureLossAvg,J1_PressureLossMax,J1_PressureLossStd,J2_AvgPressure,J2_MinPressure,J2_MaxPressure,J2_PressureLossAvg,J2_PressureLossMax,J2_PressureLossStd,J3_AvgPressure,J3_MinPressure,J3_MaxPressure,J3_PressureLossAvg,J3_PressureLossMax,J3_PressureLossStd,J4_AvgPressure,J4_MinPressure,J4_MaxPressure,J4_PressureLossAvg,J4_PressureLossMax,J4_PressureLossStd,J5_AvgPressure,J5_MinPressure,J5_MaxPressure,J5_PressureLossAvg,J5_PressureLossMax,J5_PressureLossStd,J6_AvgPressure,J6_MinPressure,J6_MaxPressure,J6_PressureLossAvg,J6_PressureLossMax,J6_PressureLossStd,J7_AvgPressure,J7_MinPressure,J7_MaxPressure,J7_PressureLossAvg,J7_PressureLossMax,J7_PressureLossStd,J8_AvgPressure,J8_MinPressure,J8_MaxPressure,J8_PressureLossAvg,J8_PressureLossMax,J8_PressureLossStd,P1_AvgFlow,P1_MaxFlow,P2_AvgFlow,P2_MaxFlow,P3_AvgFlow,P3_MaxFlow,P4_AvgFlow,P4_MaxFlow,P5_AvgFlow,P5_MaxFlow,P6_AvgFlow,P6_MaxFlow,P7_AvgFlow,P7_MaxFlow,P8_AvgFlow,P8_MaxFlow,P9_AvgFlow,P9_MaxFlow,P10_AvgFlow,P10_MaxFlow,P11_AvgFlow,P11_MaxFlow,P12_AvgFlow,P12_MaxFlow
973,J2,Large,Medium,14,1,2,1,0,0,16.797457,16.508038,16.984367,0.0,0.0,0.0,18.715137,18.333574,18.96156,0.0,0.0,0.0,19.715996,19.335392,19.961796,0.0,0.0,0.0,21.690092,21.280489,21.954618,0.0,0.0,0.0,22.689987,22.28027,22.954588,0.0,0.0,0.0,23.689838,23.279953,23.95455,0.0,0.0,0.0,24.693892,24.288544,24.95567,0.0,0.0,0.0,26.6868,26.273518,26.953707,0.0,0.0,0.0,0.02496,0.039,0.010367806,0.016199697,0.009792195,0.015300306,0.0032098945,0.0050154603,0.0033179105,0.005184235,0.0031914187,0.004986591,0.0027607768,0.004313714,0.00052712514,0.00082363276,0.00084077666,0.0013137136,8.9214904e-05,0.0001393978,0.0005520983,0.0008626538,0.0002406799,0.0003760626
974,J8,Large,Low,15,5,8,1,0,0,16.884977,16.69353,17.008617,-0.08752037,-0.02425003,0.047422793,18.830524,18.578121,18.993528,-0.11538597,-0.03196907,0.062522456,19.83109,19.579327,19.993683,-0.11509377,-0.031887054,0.062364873,21.813955,21.543007,21.98894,-0.1238636,-0.03432083,0.06711618,22.813887,22.542862,22.988918,-0.12389961,-0.034330368,0.067135595,23.81379,23.542654,23.988894,-0.12394905,-0.03434372,0.06716316,24.816467,24.548338,24.989632,-0.12257706,-0.03396225,0.06642056,26.811783,26.538393,26.988335,-0.12497749,-0.034627914,0.0677201,0.019968001,0.031200001,0.008294243,0.012959757,0.0078337565,0.012240245,0.0025679162,0.004012368,0.002654328,0.0041473885,0.002553135,0.003989273,0.0022086212,0.0034509709,0.0004217007,0.00065890624,0.0006726211,0.0010509709,7.137291e-05,0.00011151824,0.00044167822,0.00069012307,0.00019254332,0.00030085008
975,J3,Small,Medium,18,6,3,0,0,1,16.797457,16.508038,16.984367,0.0,0.0,0.0,18.715137,18.333574,18.96156,0.0,0.0,0.0,19.715996,19.335392,19.961796,0.0,0.0,0.0,21.690092,21.280489,21.954618,0.0,0.0,0.0,22.689987,22.28027,22.954588,0.0,0.0,0.0,23.689838,23.279953,23.95455,0.0,0.0,0.0,24.693892,24.288544,24.95567,0.0,0.0,0.0,26.6868,26.273518,26.953707,0.0,0.0,0.0,0.02496,0.039,0.010367806,0.016199697,0.009792195,0.015300306,0.0032098945,0.0050154603,0.0033179105,0.005184235,0.0031914187,0.004986591,0.0027607768,0.004313714,0.00052712514,0.00082363276,0.00084077666,0.0013137136,8.9214904e-05,0.0001393978,0.0005520983,0.0008626538,0.0002406799,0.0003760626
976,J6,Medium,Low,2,3,6,0,1,0,16.884977,16.69353,17.008617,-0.08752037,-0.02425003,0.047422793,18.830524,18.578121,18.993528,-0.11538597,-0.03196907,0.062522456,19.83109,19.579327,19.993683,-0.11509377,-0.031887054,0.062364873,21.813955,21.543007,21.98894,-0.1238636,-0.03432083,0.06711618,22.813887,22.542862,22.988918,-0.12389961,-0.034330368,0.067135595,23.81379,23.542654,23.988894,-0.12394905,-0.03434372,0.06716316,24.816467,24.548338,24.989632,-0.12257706,-0.03396225,0.06642056,26.811783,26.538393,26.988335,-0.12497749,-0.034627914,0.0677201,0.019968001,0.031200001,0.008294243,0.012959757,0.0078337565,0.012240245,0.0025679162,0.004012368,0.002654328,0.0041473885,0.002553135,0.003989273,0.0022086212,0.0034509709,0.0004217007,0.00065890624,0.0006726211,0.0010509709,7.137291e-05,0.00011151824,0.00044167822,0.00069012307,0.00019254332,0.00030085008
977,J3,Medium,Low,15,4,3,0,1,0,16.884977,16.69353,17.008617,-0.08752037,-0.02425003,0.047422793,18.830524,18.578121,18.993528,-0.11538597,-0.03196907,0.062522456,19.83109,19.579327,19.993683,-0.11509377,-0.031887054,0.062364873,21.813955,21.543007,21.98894,-0.1238636,-0.03432083,0.06711618,22.813887,22.542862,22.988918,-0.12389961,-0.034330368,0.067135595,23.81379,23.542654,23.988894,-0.12394905,-0.03434372,0.06716316,24.816467,24.548338,24.989632,-0.12257706,-0.03396225,0.06642056,26.811783,26.538393,26.988335,-0.12497749,-0.034627914,0.0677201,0.019968001,0.031200001,0.008294243,0.012959757,0.0078337565,0.012240245,0.0025679162,0.004012368,0.002654328,0.0041473885,0.002553135,0.003989273,0.0022086212,0.0034509709,0.0004217007,0.00065890624,0.0006726211,0.0010509709,7.137291e-05,0.00011151824,0.00044167822,0.00069012307,0.00019254332,0.00030085008
978,J7,Medium,Medium,10,3,7,0,1,0,16.797457,16.508038,16.984367,0.0,0.0,0.0,18.715137,18.333574,18.96156,0.0,0.0,0.0,19.715996,19.335392,19.961796,0.0,0.0,0.0,21.690092,21.280489,21.954618,0.0,0.0,0.0,22.689987,22.28027,22.954588,0.0,0.0,0.0,23.689838,23.279953,23.95455,0.0,0.0,0.0,24.693892,24.288544,24.95567,0.0,0.0,0.0,26.6868,26.273518,26.953707,0.0,0.0,0.0,0.02496,0.039,0.010367806,0.016199697,0.009792195,0.015300306,0.0032098945,0.0050154603,0.0033179105,0.005184235,0.0031914187,0.004986591,0.0027607768,0.004313714,0.00052712514,0.00082363276,0.00084077666,0.0013137136,8.9214904e-05,0.0001393978,0.0005520983,0.0008626538,0.0002406799,0.0003760626
979,J6,Large,Low,14,4,6,1,0,0,16.884977,16.69353,17.008617,-0.08752037,-0.02425003,0.047422793,18.830524,18.578121,18.993528,-0.11538597,-0.03196907,0.062522456,19.83109,19.579327,19.993683,-0.11509377,-0.031887054,0.062364873,21.813955,21.543007,21.98894,-0.1238636,-0.03432083,0.06711618,22.813887,22.542862,22.988918,-0.12389961,-0.034330368,0.067135595,23.81379,23.542654,23.988894,-0.12394905,-0.03434372,0.06716316,24.816467,24.548338,24.989632,-0.12257706,-0.03396225,0.06642056,26.811783,26.538393,26.988335,-0.12497749,-0.034627914,0.0677201,0.019968001,0.031200001,0.008294243,0.012959757,0.0078337565,0.012240245,0.0025679162,0.004012368,0.002654328,0.0041473885,0.002553135,0.003989273,0.0022086212,0.0034509709,0.0004217007,0.00065890624,0.0006726211,0.0010509709,7.137291e-05,0.00011151824,0.00044167822,0.00069012307,0.00019254332,0.00030085008
980,J8,Small,Low,7,1,8,0,0,1,16.884977,16.69353,17.008617,-0.08752037,-0.02425003,0.047422793,18.830524,18.578121,18.993528,-0.11538597,-0.03196907,0.062522456,19.83109,19.579327,19.993683,-0.11509377,-0.031887054,0.062364873,21.813955,21.543007,21.98894,-0.1238636,-0.03432083,0.06711618,22.813887,22.542862,22.988918,-0.12389961,-0.034330368,0.067135595,23.81379,23.542654,23.988894,-0.12394905,-0.03434372,0.06716316,24.816467,24.548338,24.989632,-0.12257706,-0.03396225,0.06642056,26.811783,26.538393,26.988335,-0.12497749,-0.034627914,0.0677201,0.019968001,0.031200001,0.008294243,0.012959757,0.0078337565,0.012240245,0.0025679162,0.004012368,0.002654328,0.0041473885,0.002553135,0.003989273,0.0022086212,0.0034509709,0.0004217007,0.00065890624,0.0006726211,0.0010509709,7.137291e-05,0.00011151824,0.00044167822,0.00069012307,0.00019254332,0.00030085008
981,J8,Medium,Low,9,1,8,0,1,0,16.884977,16.69353,17.008617,-0.08752037,-0.02425003,0.047422793,18.830524,18.578121,18.993528,-0.11538597,-0.03196907,0.062522456,19.83109,19.579327,19.993683,-0.11509377,-0.031887054,0.062364873,21.813955,21.543007,21.98894,-0.1238636,-0.03432083,0.06711618,22.813887,22.542862,22.988918,-0.12389961,-0.034330368,0.067135595,23.81379,23.542654,23.988894,-0.12394905,-0.03434372,0.06716316,24.816467,24.548338,24.989632,-0.12257706,-0.03396225,0.06642056,26.811783,26.538393,26.988335,-0.12497749,-0.034627914,0.0677201,0.019968001,0.031200001,0.008294243,0.012959757,0.0078337565,0.012240245,0.0025679162,0.004012368,0.002654328,0.0041473885,0.002553135,0.003989273,0.0022086212,0.0034509709,0.0004217007,0.00065890624,0.0006726211,0.0010509709,7.137291e-05,0.00011151824,0.00044167822,0.00069012307,0.00019254332,0.00030085008
982,J1,Large,Low,4,1,1,1,0,0,16.884977,16.69353,17.008617,-0.08752037,-0.02425003,0.047422793,18.830524,18.578121,18.993528,-0.11538597,-0.03196907,0.062522456,19.83109,19.579327,19.993683,-0.11509377,-0.031887054,0.062364873,21.813955,21.543007,21.98894,-0.1238636,-0.03432083,0.06711618,22.813887,22.542862,22.988918,-0.12389961,-0.034330368,0.067135595,23.81379,23.542654,23.988894,-0.12394905,-0.03434372,0.06716316,24.816467,24.548338,24.989632,-0.12257706,-0.03396225,0.06642056,26.811783,26.538393,26.988335,-0.12497749,-0.034627914,0.0677201,0.019968001,0.031200001,0.008294243,0.012959757,0.0078337565,0.012240245,0.0025679162,0.004012368,0.002654328,0.0041473885,0.002553135,0.003989273,0.0022086212,0.0034509709,0.0004217007,0.00065890624,0.0006726211,0.0010509709,7.137291e-05,0.00011151824,0.00044167822,0.00069012307,0.00019254332,0.00030085008
983,J3,Small,High,11,2,3,0,0,1,16.69361,16.28794,16.955591,0.10384689,0.2200985,0.056271307,18.578226,18.043402,18.92362,0.13691063,0.29017258,0.07418652,19.57943,19.04595,19.923956,0.13656692,0.28944206,0.07399923,21.54312,20.968996,21.913897,0.14697227,0.31149292,0.07963867,22.542974,21.968683,22.913853,0.14701264,0.31158638,0.079660796,23.542768,22.968243,23.913797,0.14707275,0.31171036,0.07969202,24.548447,23.980284,24.91537,0.14544526,0.30825996,0.07881091,26.538511,25.959223,26.912617,0.14829284,0.31429482,0.080353655,0.029952,0.046800002,0.012441366,0.019439636,0.011750635,0.018360367,0.0038518736,0.0060185525,0.0039814925,0.0062210825,0.0038297025,0.00598391,0.0033129319,0.0051764566,0.00063255004,0.0009883593,0.001008932,0.0015764564,0.000107057596,0.00016727737,0.00066251814,0.0010351845,0.00028881605,0.00045127518
984,J2,Large,Low,7,2,2,1,0,0,16.884977,16.69353,17.008617,-0.08752037,-0.02425003,0.047422793,18.830524,18.578121,18.993528,-0.11538597,-0.03196907,0.062522456,19.83109,19.579327,19.993683,-0.11509377,-0.031887054,0.062364873,21.813955,21.543007,21.98894,-0.1238636,-0.03432083,0.06711618,22.813887,22.542862,22.988918,-0.12389961,-0.034330368,0.067135595,23.81379,23.542654,23.988894,-0.12394905,-0.03434372,0.06716316,24.816467,24.548338,24.989632,-0.12257706,-0.03396225,0.06642056,26.811783,26.538393,26.988335,-0.12497749,-0.034627914,0.0677201,0.019968001,0.031200001,0.008294243,0.012959757,0.0078337565,0.012240245,0.0025679162,0.004012368,0.002654328,0.0041473885,0.002553135,0.003989273,0.0022086212,0.0034509709,0.0004217007,0.00065890624,0.0006726211,0.0010509709,7.137291e-05,0.00011151824,0.00044167822,0.00069012307,0.00019254332,0.00030085008
985,J2,Large,High,23,2,2,1,0,0,16.69361,16.28794,16.955591,0.10384689,0.2200985,0.056271307,18.578226,18.043402,18.92362,0.13691063,0.29017258,0.07418652,19.57943,19.04595,19.923956,0.13656692,0.28944206,0.07399923,21.54312,20.968996,21.913897,0.14697227,0.31149292,0.07963867,22.542974,21.968683,22.913853,0.14701264,0.31158638,0.079660796,23.542768,22.968243,23.913797,0.14707275,0.31171036,0.07969202,24.548447,23.980284,24.91537,0.14544526,0.30825996,0.07881091,26.538511,25.959223,26.912617,0.14829284,0.31429482,0.080353655,0.029952,0.046800002,0.012441366,0.019439636,0.011750635,0.018360367,0.0038518736,0.0060185525,0.0039814925,0.0062210825,0.0038297025,0.00598391,0.0033129319,0.0051764566,0.00063255004,0.0009883593,0.001008932,0.0015764564,0.000107057596,0.00016727737,0.00066251814,0.0010351845,0.00028881605,0.00045127518
986,J1,Medium,High,4,6,1,0,1,0,16.69361,16.28794,16.955591,0.10384689,0.2200985,0.056271307,18.578226,18.043402,18.92362,0.13691063,0.29017258,0.07418652,19.57943,19.04595,19.923956,0.13656692,0.28944206,0.07399923,21.54312,20.968996,21.913897,0.14697227,0.31149292,0.07963867,22.542974,21.968683,22.913853,0.14701264,0.31158638,0.079660796,23.542768,22.968243,23.913797,0.14707275,0.31171036,0.07969202,24.548447,23.980284,24.91537,0.14544526,0.30825996,0.07881091,26.538511,25.959223,26.912617,0.14829284,0.31429482,0.080353655,0.029952,0.046800002,0.012441366,0.019439636,0.011750635,0.018360367,0.0038518736,0.0060185525,0.0039814925,0.0062210825,0.0038297025,0.00598391,0.0033129319,0.0051764566,0.00063255004,0.0009883593,0.001008932,0.0015764564,0.000107057596,0.00016727737,0.00066251814,0.0010351845,0.00028881605,0.00045127518
987,J6,Medium,High,22,2,6,0,1,0,16.69361,16.28794,16.955591,0.10384689,0.2200985,0.056271307,18.578226,18.043402,18.92362,0.13691063,0.29017258,0.07418652,19.57943,19.04595,19.923956,0.13656692,0.28944206,0.07399923,21.54312,20.968996,21.913897,0.14697227,0.31149292,0.07963867,22.542974,21.968683,22.913853,0.14701264,0.31158638,0.079660796,23.542768,22.968243,23.913797,0.14707275,0.31171036,0.07969202,24.548447,23.980284,24.91537,0.14544526,0.30825996,0.07881091,26.538511,25.959223,26.912617,0.14829284,0.31429482,0.080353655,0.029952,0.046800002,0.012441366,0.019439636,0.011750635,0.018360367,0.0038518736,0.0060185525,0.0039814925,0.0062210825,0.0038297025,0.00598391,0.0033129319,0.0051764566,0.00063255004,0.0009883593,0.001008932,0.0015764564,0.000107057596,0.00016727737,0.00066251814,0.0010351845,0.00028881605,0.00045127518
988,J2,Medium,High,10,6,2,0,1,0,16.69361,16.28794,16.955591,0.10384689,0.2200985,0.056271307,18.578226,18.043402,18.92362,0.13691063,0.29017258,0.07418652,19.57943,19.04595,19.923956,0.13656692,0.28944206,0.07399923,21.54312,20.968996,21.913897,0.14697227,0.31149292,0.07963867,22.542974,21.968683,22.913853,0.14701264,0.31158638,0.079660796,23.542768,22.968243,23.913797,0.14707275,0.31171036,0.07969202,24.548447,23.980284,24.91537,0.14544526,0.30825996,0.07881091,26.538511,25.959223,26.912617,0.14829284,0.31429482,0.080353655,0.029952,0.046800002,0.012441366,0.019439636,0.011750635,0.018360367,0.0038518736,0.0060185525,0.0039814925,0.0062210825,0.0038297025,0.00598391,0.0033129319,0.0051764566,0.00063255004,0.0009883593,0.001008932,0.0015764564,0.000107057596,0.00016727737,0.00066251814,0.0010351845,0.00028881605,0.00045127518
989,J8,Medium,Medium,4,2,8,0,1,0,16.797457,16.508038,16.984367,0.0,0.0,0.0,18.715137,18.333574,18.96156,0.0,0.0,0.0,19.715996,19.335392,19.961796,0.0,0.0,0.0,21.690092,21.280489,21.954618,0.0,0.0,0.0,22.689987,22.28027,22.954588,0.0,0.0,0.0,23.689838,23.279953,23.95455,0.0,0.0,0.0,24.693892,24.288544,24.95567,0.0,0.0,0.0,26.6868,26.273518,26.953707,0.0,0.0,0.0,0.02496,0.039,0.010367806,0.016199697,0.009792195,0.015300306,0.0032098945,0.0050154603,0.0033179105,0.005184235,0.0031914187,0.004986591,0.0027607768,0.004313714,0.00052712514,0.00082363276,0.00084077666,0.0013137136,8.9214904e-05,0.0001393978,0.0005520983,0.0008626538,0.0002406799,0.0003760626
990,J4,Small,Medium,10,6,4,0,0,1,16.797457,16.508038,16.984367,0.0,0.0,0.0,18.715137,18.333574,18.96156,0.0,0.0,0.0,19.715996,19.335392,19.961796,0.0,0.0,0.0,21.690092,21.280489,21.954618,0.0,0.0,0.0,22.689987,22.28027,22.954588,0.0,0.0,0.0,23.689838,23.279953,23.95455,0.0,0.0,0.0,24.693892,24.288544,24.95567,0.0,0.0,0.0,26.6868,26.273518,26.953707,0.0,0.0,0.0,0.02496,0.039,0.010367806,0.016199697,0.009792195,0.015300306,0.0032098945,0.0050154603,0.0033179105,0.005184235,0.0031914187,0.004986591,0.0027607768,0.004313714,0.00052712514,0.00082363276,0.00084077666,0.0013137136,8.9214904e-05,0.0001393978,0.0005520983,0.0008626538,0.0002406799,0.0003760626
991,J5,Large,Medium,6,1,5,1,0,0,16.797457,16.508038,16.984367,0.0,0.0,0.0,18.715137,18.333574,18.96156,0.0,0.0,0.0,19.715996,19.335392,19.961796,0.0,0.0,0.0,21.690092,21.280489,21.954618,0.0,0.0,0.0,22.689987,22.28027,22.954588,0.0,0.0,0.0,23.689838,23.279953,23.95455,0.0,0.0,0.0,24.693892,24.288544,24.95567,0.0,0.0,0.0,26.6868,26.273518,26.953707,0.0,0.0,0.0,0.02496,0.039,0.010367806,0.016199697,0.009792195,0.015300306,0.0032098945,0.0050154603,0.0033179105,0.005184235,0.0031914187,0.004986591,0.0027607768,0.004313714,0.00052712514,0.00082363276,0.00084077666,0.0013137136,8.9214904e-05,0.0001393978,0.0005520983,0.0008626538,0.0002406799,0.0003760626
992,J3,Small,Low,22,3,3,0,0,1,16.884977,16.69353,17.008617,-0.08752037,-0.02425003,0.047422793,18.830524,18.578121,18.993528,-0.11538597,-0.03196907,0.062522456,19.83109,19.579327,19.993683,-0.11509377,-0.031887054,0.062364873,21.813955,21.543007,21.98894,-0.1238636,-0.03432083,0.06711618,22.813887,22.542862,22.988918,-0.12389961,-0.034330368,0.067135595,23.81379,23.542654,23.988894,-0.12394905,-0.03434372,0.06716316,24.816467,24.548338,24.989632,-0.12257706,-0.03396225,0.06642056,26.811783,26.538393,26.988335,-0.12497749,-0.034627914,0.0677201,0.019968001,0.031200001,0.008294243,0.012959757,0.0078337565,0.012240245,0.0025679162,0.004012368,0.002654328,0.0041473885,0.002553135,0.003989273,0.0022086212,0.0034509709,0.0004217007,0.00065890624,0.0006726211,0.0010509709,7.137291e-05,0.00011151824,0.00044167822,0.00069012307,0.00019254332,0.00030085008
993,J7,Small,Low,3,4,7,0,0,1,16.884977,16.69353,17.008617,-0.08752037,-0.02425003,0.047422793,18.830524,18.578121,18.993528,-0.11538597,-0.03196907,0.062522456,19.83109,19.579327,19.993683,-0.11509377,-0.031887054,0.062364873,21.813955,21.543007,21.98894,-0.1238636,-0.03432083,0.06711618,22.813887,22.542862,22.988918,-0.12389961,-0.034330368,0.067135595,23.81379,23.542654,23.988894,-0.12394905,-0.03434372,0.06716316,24.816467,24.548338,24.989632,-0.12257706,-0.03396225,0.06642056,26.811783,26.538393,26.988335,-0.12497749,-0.034627914,0.0677201,0.019968001,0.031200001,0.008294243,0.012959757,0.0078337565,0.012240245,0.0025679162,0.004012368,0.002654328,0.0041473885,0.002553135,0.003989273,0.0022086212,0.0034509709,0.0004217007,0.00065890624,0.0006726211,0.0010509709,7.137291e-05,0.00011151824,0.00044167822,0.00069012307,0.00019254332,0.00030085008
994,J1,Small,Medium,23,1,1,0,0,1,16.797457,16.508038,16.984367,0.0,0.0,0.0,18.715137,18.333574,18.96156,0.0,0.0,0.0,19.715996,19.335392,19.961796,0.0,0.0,0.0,21.690092,21.280489,21.954618,0.0,0.0,0.0,22.689987,22.28027,22.954588,0.0,0.0,0.0,23.689838,23.279953,23.95455,0.0,0.0,0.0,24.693892,24.288544,24.95567,0.0,0.0,0.0,26.6868,26.273518,26.953707,0.0,0.0,0.0,0.02496,0.039,0.010367806,0.016199697,0.009792195,0.015300306,0.0032098945,0.0050154603,0.0033179105,0.005184235,0.0031914187,0.004986591,0.0027607768,0.004313714,0.00052712514,0.00082363276,0.00084077666,0.0013137136,8.9214904e-05,0.0001393978,0.0005520983,0.0008626538,0.0002406799,0.0003760626
995,J3,Small,Low,6,3,3,0,0,1,16.884977,16.69353,17.008617,-0.08752037,-0.02425003,0.047422793,18.830524,18.578121,18.993528,-0.11538597,-0.03196907,0.062522456,19.83109,19.579327,19.993683,-0.11509377,-0.031887054,0.062364873,21.813955,21.543007,21.98894,-0.1238636,-0.03432083,0.06711618,22.813887,22.542862,22.988918,-0.12389961,-0.034330368,0.067135595,23.81379,23.542654,23.988894,-0.12394905,-0.03434372,0.06716316,24.816467,24.548338,24.989632,-0.12257706,-0.03396225,0.06642056,26.811783,26.538393,26.988335,-0.12497749,-0.034627914,0.0677201,0.019968001,0.031200001,0.008294243,0.012959757,0.0078337565,0.012240245,0.0025679162,0.004012368,0.002654328,0.0041473885,0.002553135,0.003989273,0.0022086212,0.0034509709,0.0004217007,0.00065890624,0.0006726211,0.0010509709,7.137291e-05,0.00011151824,0.00044167822,0.00069012307,0.00019254332,0.00030085008
996,J4,Large,Medium,18,1,4,1,0,0,16.797457,16.508038,16.984367,0.0,0.0,0.0,18.715137,18.333574,18.96156,0.0,0.0,0.0,19.715996,19.335392,19.961796,0.0,0.0,0.0,21.690092,21.280489,21.954618,0.0,0.0,0.0,22.689987,22.28027,22.954588,0.0,0.0,0.0,23.689838,23.279953,23.95455,0.0,0.0,0.0,24.693892,24.288544,24.95567,0.0,0.0,0.0,26.6868,26.273518,26.953707,0.0,0.0,0.0,0.02496,0.039,0.010367806,0.016199697,0.009792195,0.015300306,0.0032098945,0.0050154603,0.0033179105,0.005184235,0.0031914187,0.004986591,0.0027607768,0.004313714,0.00052712514,0.00082363276,0.00084077666,0.0013137136,8.9214904e-05,0.0001393978,0.0005520983,0.0008626538,0.0002406799,0.0003760626
997,J2,Large,High,15,5,2,1,0,0,16.69361,16.28794,16.955591,0.10384689,0.2200985,0.056271307,18.578226,18.043402,18.92362,0.13691063,0.29017258,0.07418652,19.57943,19.04595,19.923956,0.13656692,0.28944206,0.07399923,21.54312,20.968996,21.913897,0.14697227,0.31149292,0.07963867,22.542974,21.968683,22.913853,0.14701264,0.31158638,0.079660796,23.542768,22.968243,23.913797,0.14707275,0.31171036,0.07969202,24.548447,23.980284,24.91537,0.14544526,0.30825996,0.07881091,26.538511,25.959223,26.912617,0.14829284,0.31429482,0.080353655,0.029952,0.046800002,0.012441366,0.019439636,0.011750635,0.018360367,0.0038518736,0.0060185525,0.0039814925,0.0062210825,0.0038297025,0.00598391,0.0033129319,0.0051764566,0.00063255004,0.0009883593,0.001008932,0.0015764564,0.000107057596,0.00016727737,0.00066251814,0.0010351845,0.00028881605,0.00045127518
998,J3,Small,Low,8,6,3,0,0,1,16.884977,16.69353,17.008617,-0.08752037,-0.02425003,0.047422793,18.830524,18.578121,18.993528,-0.11538597,-0.03196907,0.062522456,19.83109,19.579327,19.993683,-0.11509377,-0.031887054,0.062364873,21.813955,21.543007,21.98894,-0.1238636,-0.03432083,0.06711618,22.813887,22.542862,22.988918,-0.12389961,-0.034330368,0.067135595,23.81379,23.542654,23.988894,-0.12394905,-0.03434372,0.06716316,24.816467,24.548338,24.989632,-0.12257706,-0.03396225,0.06642056,26.811783,26.538393,26.988335,-0.12497749,-0.034627914,0.0677201,0.019968001,0.031200001,0.008294243,0.012959757,0.0078337565,0.012240245,0.0025679162,0.004012368,0.002654328,0.0041473885,0.002553135,0.003989273,0.0022086212,0.0034509709,0.0004217007,0.00065890624,0.0006726211,0.0010509709,7.137291e-05,0.00011151824,0.00044167822,0.00069012307,0.00019254332,0.00030085008
999,J5,Small,High,0,6,5,0,0,1,16.69361,16.28794,16.955591,0.10384689,0.2200985,0.056271307,18.578226,18.043402,18.92362,0.13691063,0.29017258,0.07418652,19.57943,19.04595,19.923956,0.13656692,0.28944206,0.07399923,21.54312,20.968996,21.913897,0.14697227,0.31149292,0.07963867,22.542974,21.968683,22.913853,0.14701264,0.31158638,0.079660796,23.542768,22.968243,23.913797,0.14707275,0.31171036,0.07969202,24.548447,23.980284,24.91537,0.14544526,0.30825996,0.07881091,26.538511,25.959223,26.912617,0.14829284,0.31429482,0.080353655,0.029952,0.046800002,0.012441366,0.019439636,0.011750635,0.018360367,0.0038518736,0.0060185525,0.0039814925,0.0062210825,0.0038297025,0.00598391,0.0033129319,0.0051764566,0.00063255004,0.0009883593,0.001008932,0.0015764564,0.000107057596,0.00016727737,0.00066251814,0.0010351845,0.00028881605,0.00045127518
1000,J2,Small,Low,15,5,2,0,0,1,16.884977,16.69353,17.008617,-0.08752037,-0.02425003,0.047422793,18.830524,18.578121,18.993528,-0.11538597,-0.03196907,0.062522456,19.83109,19.579327,19.993683,-0.11509377,-0.031887054,0.062364873,21.813955,21.543007,21.98894,-0.1238636,-0.03432083,0.06711618,22.813887,22.542862,22.988918,-0.12389961,-0.034330368,0.067135595,23.81379,23.542654,23.988894,-0.12394905,-0.03434372,0.06716316,24.816467,24.548338,24.989632,-0.12257706,-0.03396225,0.06642056,26.811783,26.538393,26.988335,-0.12497749,-0.034627914,0.0677201,0.019968001,0.031200001,0.008294243,0.012959757,0.0078337565,0.012240245,0.0025679162,0.004012368,0.002654328,0.0041473885,0.002553135,0.003989273,0.0022086212,0.0034509709,0.0004217007,0.00065890624,0.0006726211,0.0010509709,7.137291e-05,0.00011151824,0.00044167822,0.00069012307,0.00019254332,0.00030085008
1001,J7,Small,Low,15,5,7,0,0,1,16.884977,16.69353,17.008617,-0.08752037,-0.02425003,0.047422793,18.830524,18.578121,18.993528,-0.11538597,-0.03196907,0.062522456,19.83109,19.579327,19.993683,-0.11509377,-0.031887054,0.062364873,21.813955,21.543007,21.98894,-0.1238636,-0.03432083,0.06711618,22.813887,22.542862,22.988918,-0.12389961,-0.034330368,0.067135595,23.81379,23.542654,23.988894,-0.12394905,-0.03434372,0.06716316,24.816467,24.548338,24.989632,-0.12257706,-0.03396225,0.06642056,26.811783,26.538393,26.988335,-0.12497749,-0.034627914,0.0677201,0.019968001,0.031200001,0.008294243,0.012959757,0.0078337565,0.012240245,0.0025679162,0.004012368,0.002654328,0.0041473885,0.002553135,0.003989273,0.0022086212,0.0034509709,0.0004217007,0.00065890624,0.0006726211,0.0010509709,7.137291e-05,0.00011151824,0.00044167822,0.00069012307,0.00019254332,0.00030085008
